Year,Publication ID,Report type,Lancet Series,Report Title,Author ,Institution ,Department,"Institution type (academic, NGO, professional society, international organisation, medical) ",Country ,Continent ,REFERENCE LIST
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",Thomson Prentice,World Health Organisation,,International Organisation,Switzerland,Europe,
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",Tessa Tan-Torres Edejer,World Health Organisation,,International Organisation,Switzerland,Europe,
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",David Evans,World Health Organisation,,International Organisation,Switzerland,Europe,
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",Julia Lowe,World Health Organisation,,International Organisation,Switzerland,Europe,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.",Chizuru Nishida,World Health Organisation,WHO Department of Nutrition for Health and Development,International Organisation,Switzerland,Europe,https://apps.who.int/iris/bitstream/handle/10665/42665/WHO_TRS_916.pdf?sequence=1
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.",Pekka Puska,World Health Organisation,WHO Department of Noncommunicable Disease Prevention and Health Promotion ,International Organisation,Switzerland,Europe,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.",Prakash Shetty,Food and Agricultural Organisation ,Food and Nutrition Division ,International Organisation,Italy,Europe,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.",R. Weisel,Food and Agricultural Organisation ,Food and Nutrition Division ,International Organisation,Italy,Europe,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.",M. Deurenberg-Yap,Health Promotion Board of Singapore,,National Government,Singapore,Asia,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.",S. Kumanyika,University of Pennsylvania,,Academic,United States,North America,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.",J. C. Seidell,Free University of Amsterdam,,Academic,Netherlands,Europe,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.", R. Uauy,London School of Hygiene and Tropical Medicine,,Academic,United Kingdom,Europe,
2003,104,Strategy ,No,"Diet, Nutrition and the Prevention of Chronic Diseases.", R. Uauy,University of Chile,Institute of Nutrition,Academic,Chile,South America,
2003,105,Report ,No,World Health Report: Shaping the Future. ,Tim Evans,World Health Organisation,,International Organisation,Switzerland,Europe,https://www.who.int/whr/2003/en/whr03_en.pdf?ua=1
2003,105,Report ,No,World Health Report: Shaping the Future. ,Robert Beaglehole,World Health Organisation,,International Organisation,Switzerland,Europe,
2003,105,Report ,No,World Health Report: Shaping the Future. ,Alec Irwin,World Health Organisation,,International Organisation,Switzerland,Europe,
2003,105,Report ,No,World Health Report: Shaping the Future. ,Thomson Prentice,World Health Organisation,,International Organisation,Switzerland,Europe,
2003,106,Report ,No,Integrated Prevention of Noncommunicable Diseases: Progress Report by the Secretariat 27 November 2003,Anonymous,World Health Organisation,,International Organisation,Switzerland,Europe,https://apps.who.int/gb/archive/pdf_files/EB113/eeb11336.pdf
2004,107,Strategy ,No,"Global Strategy on Diet, Physical Activity and Health",Anonymous,World Health Organisation,,International Organisation,Switzerland,Europe,https://www.who.int/dietphysicalactivity/strategy/eb11344/strategy_english_web.pdf
2005,108,Journal series,Lancet 2005 Non-communicable Disease Series ,The neglected epidemic of chronic disease ,Richard Horton,The Lancet,,Medical Journal,United Kingdom,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67454-5/fulltext
2005,109,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: how many lives can we save?,Kate Strong,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67341-2/fulltext
2005,109,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: how many lives can we save?,Colin Mathers,World Health Organisation,WHO Department of Measurement and Health Information Systems ,International Organisation,Switzerland,Europe,
2005,109,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: how many lives can we save?,Stephen Leeder,University of Sydney,"Australian Health Policy Institute, College of Health Sciences",Academic,Australia ,Oceania ,
2005,109,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: how many lives can we save?,Robert Beaglehole,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,
2005,110,Journal series,Lancet 2005 Non-communicable Disease Series ,MDGs: chronic diseases are not on the agenda,Valentin Fuste,World Heart Federation,,NGO,Switzerland,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67610-6/fulltext
2005,110,Journal series,Lancet 2005 Non-communicable Disease Series ,MDGs: chronic diseases are not on the agenda,Janet Voûte ,World Heart Federation,,NGO,Switzerland,Europe,
2005,111,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: taking stepwise action,JoAnne Epping-Jordan,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67342-4/fulltext
2005,111,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: taking stepwise action,Gauden Galea,World Health Organisation ,WHO Regional Office for the Western Pacific,International Organisation,Philippines,Asia,
2005,111,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: taking stepwise action,Colin TUnited Kingdomuitonga,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,
2005,111,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases: taking stepwise action,Robert Beaglehole,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,
2005,112,Journal series,Lancet 2005 Non-communicable Disease Series ,Responding to the threat of chronic diseases in India,K Srinath Reddy,All India Institute of Medical Sciences,Department of Cardiology,Academic,India,Asia,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67343-6/fulltext
2005,112,Journal series,Lancet 2005 Non-communicable Disease Series ,Responding to the threat of chronic diseases in India,Bela Shah,Indian Council of Medical Research,Division of Non-Communicable Diseases ,Governmental Organisation,India,Asia,
2005,112,Journal series,Lancet 2005 Non-communicable Disease Series ,Responding to the threat of chronic diseases in India,Cherian Varghese,World Health Organisation,Office of the WHO Representative to India,International Organisation,India,Asia,
2005,112,Journal series,Lancet 2005 Non-communicable Disease Series ,Responding to the threat of chronic diseases in India,Anbumani Ramadoss,Ministry of Health and Family Welfare of India,,National Government,India,Asia,
2005,113,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases in China,Longde Wang,Ministry of Health of the People's Republic of China,,National Government,China,Asia,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67344-8/fulltext
2005,113,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases in China,Lingzhi Kong,Ministry of Health of the People's Republic of China,,National Government,China,Asia,
2005,113,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases in China,Fan Wu,National Centre for Chronic and Non-communicable Disease Control and Prevention of the Chinese Centre for Disease Control and Prevention,,Governmental Organisation,China,Asia,
2005,113,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases in China,Yamin Bai,National Centre for Chronic and Non-communicable Disease Control and Prevention of the Chinese Centre for Disease Control and Prevention,,Governmental Organisation,China,Asia,
2005,113,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases in China,Robert Burton,World Health Organisation,WHO Centre for Health Development,International Organisation,Japan,Asia,
2005,113,Journal series,Lancet 2005 Non-communicable Disease Series ,Preventing chronic diseases in China,Robert Burton,World Health Organisation,Office of the WHO Representative to China,International Organisation,China,Asia,
2005,114,Report ,No,NCD Country Capacity Survey Report , Antonio Filipe Jr ,World Health Organisation,WHO Regional Office for Africa,International Organisation,Dem. Rep. Congo,Africa,https://www.who.int/ncds/surveillance/ncd-capacity/CCS_2005.pdf?ua=1
2005,114,Report ,No,NCD Country Capacity Survey Report ,Sidi Allel Louazani,World Health Organisation,WHO Regional Office for Africa,International Organisation,Dem. Rep. Congo,Africa,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Lucimar Coser Cannon,World Health Organisation,WHO Regional Office for the Americas,International Organisation,United States,North America,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Oussama Khatib,World Health Organisation,WHO Regional Office for the Eastern Mediterranean  ,International Organisation,Egypt,Africa,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Jill Farrington,World Health Organisation,WHO Regional Office for Europe,International Organisation,Denmark,Europe,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Aushra Shatchkute,World Health Organisation,WHO Regional Office for Europe,International Organisation,Denmark,Europe,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Jerzy Leowski ,World Health Organisation,WHO Regional Office for South-East Asia,International Organisation,India,Asia,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Gauden Galea ,World Health Organisation,WHO Regional Office for the Western Pacific,International Organisation,Philippines,Asia,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Robert Beaglehole,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,
2005,114,Report ,No,NCD Country Capacity Survey Report ,Colin TUnited Kingdomuitonga,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Catherine Le Galès-Camus ,World Health Organisation,WHO Non-communicable Diseases and Mental Health Cluster ,International Organisation,Switzerland,Europe,https://www.who.int/chp/chronic_disease_report/contents/part1.pdf?ua=1
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Robert Beaglehole,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,JoAnne Epping-Jordan,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Dele Abegunde,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Stéfanie Durivage,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Colin Mathers,World Health Organisation,WHO Department of Measurement and Health Information Systems,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Bakuti Shengelia,World Health Organisation,WHO Cluster of Noncommunicable diseases management,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Kate Strong,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Colin TUnited Kingdomuitonga,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2005,115,Strategy ,No,Preventing Chronic Diseases - A Vital Investment,Nigel Unwin,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Jean-Louis Sarbib,World Bank,Human Development Network,International Organisation,United States,North America,https://openknowledge.worldbank.org/bitstream/handle/10986/6761/405270Chronic0101OFFICIAL0USE0ONLY1.pdf?sequence=1&isAllowed=y
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Jacques Baudouy,World Bank,"Health, Nutrition, and Population",International Organisation,United States,North America,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Kei Kawabata,World Bank,"Health, Nutrition, and Population",International Organisation,United States,North America,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Olusoji Adeyi ,World Bank,Public Health Programs,International Organisation,United States,North America,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Owen Smith,World Bank,Young Professionals Program,International Organisation,United States,North America,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Sylvia Robles,Pan American Health Organisation,,International Organisation,United States,North America,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Martin McKee,London School of Hygiene and Tropical Medicine,,Academic,United Kingdom,Europe,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Dina Balabanova,London School of Hygiene and Tropical Medicine,,Academic,United Kingdom,Europe,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Natalia Koroleva,London School of Hygiene and Tropical Medicine,,Academic,United Kingdom,Europe,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Jishnu Das,World Bank,Development Research Group,International Organisation,United States,North America,
2007,116,Report ,No,Public Policy and the Challenge of Chronic Noncommunicable Diseases  ,Jed Friedman,World Bank,Development Research Group,International Organisation,United States,North America,
2007,117,Declaration ,No,The 2007 Caribbean Community Port-of-Spain Declaration on noncommunicable diseases: an overview of a multidisciplinary evaluation  ,T Alafia Samuel ,University of the West Indies,George Alleyne Chronic Disease Research Centre,Academic,Barbados,North America,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6385896/
2007,117,Declaration ,No,The 2007 Caribbean Community Port-of-Spain Declaration on noncommunicable diseases: an overview of a multidisciplinary evaluation  ,Nigel Unwin,University of the West Indies,George Alleyne Chronic Disease Research Centre,Academic,Barbados,North America,
2007,118,Journal series,Lancet 2007 Non-communicable Disease Series,Chronic diseases: the case for urgent global action,Richard Horton,The Lancet,,Medical Journal,United Kingdom,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61701-2/fulltext
2007,119,Journal series,Lancet 2007 Non-communicable Disease Series,Scaling up interventions for chronic disease prevention: the evidence,Thomas A Gaziano,Harvard University,Harvard Program for Health Decision Science,Academic,United States,North America,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61697-3/fulltext
2007,119,Journal series,Lancet 2007 Non-communicable Disease Series,Scaling up interventions for chronic disease prevention: the evidence,Gauden Galea,World Health Organisation,,International Organisation,Switzerland,Europe,
2007,119,Journal series,Lancet 2007 Non-communicable Disease Series,Scaling up interventions for chronic disease prevention: the evidence,K Srinath Reddy,Public Health Foundation of India,,NGO,India,Asia,
2007,120,Journal series,Lancet 2007 Non-communicable Disease Series,Chronic disease prevention: health effects and financial costs of strategies to reduce salt intake and control tobacco use ,Perviz Asaria,King's Fund,,NGO,United Kingdom,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61698-5/fulltext
2007,120,Journal series,Lancet 2007 Non-communicable Disease Series,Chronic disease prevention: health effects and financial costs of strategies to reduce salt intake and control tobacco use ,Daniel Chisholm,World Health Organisation,WHO Department of Health Systems Financing,International Organisation,Switzerland,Europe,
2007,120,Journal series,Lancet 2007 Non-communicable Disease Series,Chronic disease prevention: health effects and financial costs of strategies to reduce salt intake and control tobacco use ,Colin Mathers,World Health Orgaisation,WHO Department of Measurement and Health Information Systems,International Organisation,Switzerland,Europe,
2007,120,Journal series,Lancet 2007 Non-communicable Disease Series,Chronic disease prevention: health effects and financial costs of strategies to reduce salt intake and control tobacco use ,Majid Ezzati,Harvard University,Harvard School of Public Health,Academic,United States,North America,
2007,120,Journal series,Lancet 2007 Non-communicable Disease Series,Chronic disease prevention: health effects and financial costs of strategies to reduce salt intake and control tobacco use ,Robert Beaglehole,University of Auckland,,Academic,New Zealand,Oceania ,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Stephen S Lim,University of Washington,Institute for Health Metrics and Evaluation ,Academic,United States,North America,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61699-7/fulltext
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Stephen S Lim,University of Queensland,School of Population Health,Academic,Australia ,Oceania ,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Thomas A Gaziano,Harvard University, Harvard Medical School,Academic,United States,North America,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Emmanuela Gakidou,University of Washington,Institute for Health Metrics and Evaluation,Academic,United States,North America,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Emmanuela Gakidou,University of Queensland,School of Population Health ,Academic,Australia ,Oceania ,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,K Srinath Reddy,Public Health Foundation of India,,NGO,India,Asia,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,K Srinath Reddy,All India Institute of Medical Services,Department of Cardiology ,Academic,India,Asia,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Farshad Farzadfar,Harvard University,Harvard School of Public Health,Academic,United States,North America,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Rafael Lozano,Ministry of Health of Mexico,,National Government,Mexico,North America,
2007,121,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of cardiovascular disease in high-risk individuals in low-income and middle-income countries: health effects and costs,Anthony Rodgers, University of Auckland,"Clinical Trials Research Unit, School of Population Health, Faculty of Medical and Health Sciences,",Academic,New Zealand,Oceania ,
2007,122,Journal series,Lancet 2007 Non-communicable Disease Series,The burden and costs of chronic diseases in low-income and middle-income countries,Dele Abegunde,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion ,International Organisation,Switzerland,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61696-1/fulltext
2007,122,Journal series,Lancet 2007 Non-communicable Disease Series,The burden and costs of chronic diseases in low-income and middle-income countries,Colin Mathers,World Health Organisation,WHO Department of Measurement and Health Information ,International Organisation,Switzerland,Europe,
2007,122,Journal series,Lancet 2007 Non-communicable Disease Series,The burden and costs of chronic diseases in low-income and middle-income countries,Taghreed Adam,World Health Organisation,WHO Department of Health Systems Financing ,International Organisation,Switzerland,Europe,
2007,122,Journal series,Lancet 2007 Non-communicable Disease Series,The burden and costs of chronic diseases in low-income and middle-income countries,Monica Ortegon,World Health Organisation,WHO Department of Health Systems Financing ,International Organisation,Switzerland,Europe,
2007,122,Journal series,Lancet 2007 Non-communicable Disease Series,The burden and costs of chronic diseases in low-income and middle-income countries,Kate Strong,World Health Organisation,WHO Department of Chronic Diseases and Health Promotion,International Organisation,Switzerland,Europe,
2007,123,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of chronic diseases: a call to action,Robert Beaglehole,University of Auckland,,Academic,New Zealand,Oceania ,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61700-0/fulltext
2007,123,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of chronic diseases: a call to action,Shah Ebrahim,London School of Hygiene and Tropical Medicine,,Academic,United Kingdom,Europe,
2007,123,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of chronic diseases: a call to action,K Srinath Reddy,Public Health Foundation of India,,NGO,India,Asia,
2007,123,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of chronic diseases: a call to action,Janet Voûte ,World Heart Federation,,NGO,Switzerland,Europe,
2007,123,Journal series,Lancet 2007 Non-communicable Disease Series,Prevention of chronic diseases: a call to action,Stephen Leeder,University of Sydney,School of Public Health,Academic,Australia ,Oceania ,
2009,124,Strategy ,No,2008-2013 Action Plan for the Global Strategy for the Prevention and Control of Noncommunicable Diseases,Ala Alwan,World Health Organisation,WHO Non-communicable Diseases and Mental Health Cluster ,International Organisation,Switzerland,Europe,https://apps.who.int/iris/bitstream/handle/10665/44009/9789241597418_eng.pdf?sequence=1
2010,125,Report ,No,Assessing National Capacity for the Prevention of Non-communicable Diseases: Report of the 2010 Global Survey (NCD Country Capacity Survey Report),Leanne Riley,World Health Organisation,,International Organisation,Switzerland,Europe,https://www.who.int/ncds/surveillance/ncd-capacity/national_capacity_prevention_ncds.pdf?ua=1
2010,125,Report ,No,Assessing National Capacity for the Prevention of Non-communicable Diseases: Report of the 2010 Global Survey (NCD Country Capacity Survey Report),Melanie Cowan ,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,125,Report ,No,Assessing National Capacity for the Prevention of Non-communicable Diseases: Report of the 2010 Global Survey (NCD Country Capacity Survey Report),Ala Alwan,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Ala Alwan,World Health Organisation,WHO Non-communicable Diseases and Mental Health Cluster ,International Organisation,Switzerland,Europe,https://www.who.int/nmh/publications/ncd_report_full_en.pdf
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Tim Armstrong,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Douglas Bettcher,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Francesco Branca,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Daniel Chisholm,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Majid Ezzati,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Richard Garﬁeld,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,David Maclean,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Colin Mathers,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Shanthi Mendis,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Vladimir Poznyak,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Leanne Riley,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Kwok Cho Tang,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,126,Report ,No,Global Status Report on Non-Communicable Disease,Christopher Wild,World Health Organisation,,International Organisation,Switzerland,Europe,
2010,127,Journal series,Lancet 2010 Non-communicable Disease Series,Chronic diseases: global action must match global evidence ,Robert Beaglehole,University of Auckland,,Academic,New Zealand,Oceania ,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)61929-0/fulltext
2010,127,Journal series,Lancet 2010 Non-communicable Disease Series,Chronic diseases: global action must match global evidence ,Richard Horton,The Lancet,,Medical Journal,United Kingdom,Europe,
2010,128,Journal series,Lancet 2010 Non-communicable Disease Series,Rethinking health-care systems: a focus on chronicity ,Pascale Allotey,Monash University,Jeffrey Cheah School of Medicine and Health Sciences ,Academic,Malaysia,Asia,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)61856-9/fulltext
2010,128,Journal series,Lancet 2010 Non-communicable Disease Series,Rethinking health-care systems: a focus on chronicity ,Daniel D Reidpath,Monash University,Jeffrey Cheah School of Medicine and Health Sciences ,Academic,Malaysia,Asia,
2010,128,Journal series,Lancet 2010 Non-communicable Disease Series,Rethinking health-care systems: a focus on chronicity ,Shajahan Yasin,Monash University,Jeffrey Cheah School of Medicine and Health Sciences ,Academic,Malaysia,Asia,
2010,128,Journal series,Lancet 2010 Non-communicable Disease Series,Rethinking health-care systems: a focus on chronicity ,Carina K Chan,Monash University,Jeffrey Cheah School of Medicine and Health Sciences ,Academic,Malaysia,Asia,
2010,128,Journal series,Lancet 2010 Non-communicable Disease Series,Rethinking health-care systems: a focus on chronicity ,Ama de-Graft Aikins,University of Ghana,Regional Institute for Population Studies ,Academic,Ghana,Africa,
2010,128,Journal series,Lancet 2010 Non-communicable Disease Series,Rethinking health-care systems: a focus on chronicity ,Ama de-Graft Aikins,London School of Economics and Political Science,LSE Health ,Academic,United Kingdom,Europe,
2010,129,Journal series,Lancet 2010 Non-communicable Disease Series,Mobilising the world for chronic NCDs ,Jean Claude Mbanya,International Diabetes Federation,,International Organisation,Belgium,Europe,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)61891-0/fulltext
2010,129,Journal series,Lancet 2010 Non-communicable Disease Series,Mobilising the world for chronic NCDs ,SB Squire,International Union Against Tuberculosis and Lung Disease,,International Organisation,France,Europe,
2010,129,Journal series,Lancet 2010 Non-communicable Disease Series,Mobilising the world for chronic NCDs ,Eduardo Cazap,Union for International Cancer Control,,NGO,Switzerland,Europe,
