Continent5,Continent6,Country,Colour5,Colour6,Cont5Colour,Cont6Colour,Top10
Asia,Asia,"Korea, Dem. Rep.",#9E76AF,,#40004B,#40004B,
Asia,Asia,"Korea, Rep.",#7E3B8C,,#40004B,#40004B,
Asia,Asia,Kuwait,#E2CEE4,,#40004B,#40004B,
Asia,Asia,Lebanon,#D4BCDB,,#40004B,#40004B,
Asia,Asia,Malaysia,#9970AB,,#40004B,#40004B,
Asia,Asia,Mongolia,#DDC8E1,,#40004B,#40004B,
Asia,Asia,Myanmar,#834492,,#40004B,#40004B,
Asia,Asia,Nepal,#8B559B,,#40004B,#40004B,
Asia,Asia,Oman,#D9C2DE,,#40004B,#40004B,
Asia,Asia,Pakistan,#540F60,,#40004B,#40004B,#0F004F
Asia,Asia,Philippines,#681F75,,#40004B,#40004B,
Asia,Asia,Saudi Arabia,#905EA1,,#40004B,#40004B,
Asia,Asia,Singapore,#CBB0D5,,#40004B,#40004B,
Asia,Asia,Sri Lanka,#AD8ABD,,#40004B,#40004B,
Asia,Asia,Syria,#B291C1,,#40004B,#40004B,
Asia,Asia,Taiwan,#A37DB3,,#40004B,#40004B,
Asia,Asia,Thailand,#7A3288,,#40004B,#40004B,
Asia,Asia,Vietnam,#6F247B,,#40004B,#40004B,
Asia,Asia,West Bank and Gaza,#CFB6D8,,#40004B,#40004B,
Asia,Asia,"Yemen, Rep.",#A883B8,,#40004B,#40004B,
Europe,Europe,Albania,#D2ECB1,,#276419,#276419,
Europe,Europe,Austria,#92C858,,#276419,#276419,
Europe,Europe,Belgium,#6DAD35,,#276419,#276419,
Europe,Europe,Bosnia and Herzegovina,#BFE492,,#276419,#276419,
Europe,Europe,Bulgaria,#8AC34F,,#276419,#276419,
Europe,Europe,Croatia,#C6E79C,,#276419,#276419,
Europe,Europe,Czech Republic,#7BB93E,,#276419,#276419,
Europe,Europe,Denmark,#A2D26B,,#276419,#276419,
Europe,Europe,Finland,#B2DD7E,,#276419,#276419,
Europe,Europe,France,#31701B,,#276419,#276419,
Europe,Europe,Germany,#276419,,#276419,#276419,
Europe,Europe,Greece,#599C28,,#276419,#276419,
Europe,Europe,Hungary,#5FA12D,,#276419,#276419,
Europe,Europe,Iceland,#E6F5D0,,#276419,#276419,
Europe,Europe,Ireland,#CCE9A7,,#276419,#276419,
Europe,Europe,Italy,#3B7D1D,,#276419,#276419,
Europe,Europe,Luxembourg,#008C00,,#276419,#276419,
Europe,Europe,Montenegro,#DFF2C5,,#276419,#276419,
Europe,Europe,Netherlands,#529624,,#276419,#276419,
Europe,Europe,Norway,#B9E188,,#276419,#276419,
Europe,Europe,Poland,#468A1F,,#276419,#276419,
Europe,Europe,Portugal,#66A731,,#276419,#276419,
Europe,Europe,Romania,#4B9020,,#276419,#276419,
Europe,Europe,Russia,#48D800,,#276419,#276419,
Europe,Europe,Serbia,#74B33A,,#276419,#276419,
Europe,Europe,Slovak Republic,#AAD875,,#276419,#276419,
Europe,Europe,Slovenia,#D9EFBB,,#276419,#276419,
Europe,Europe,Spain,#41831E,,#276419,#276419,
Europe,Europe,Sweden,#82BE45,,#276419,#276419,
Europe,Europe,Switzerland,#9ACD62,,#276419,#276419,#9ACD62
Europe,Europe,Turkey,#2C6A1A,,#276419,#276419,
Europe,Europe,UK,#36771C,,#276419,#276419,#36771C
Oceania,Oceania,Australia,#D4AA00,,#FFD42A,#FFD42A,
Oceania,Oceania,New Zealand,#FFD42A,,#FFD42A,#FFD42A,#FFD42A
Oceania,Oceania,New Caledonia,#FFE680,,#FFD42A,#FFD42A,
Other,Other,Other,#999999,,#999999,#999999,#999999
